This is the output file for ECLiPSe - Sudoku.

The numbers in the following tables represent [execution time in milliseconds]/[number of backtracks]. The headers for the columns represent the difficulty of the puzzle; the headers for the rows represent the [Selection method]/[Choice method] for the search.


TRADITIONAL SOLUTION

		verydifficult	expert	lambda	hard17	symme	eastermonster	tarek_052	goldennugget	coloin	extra1	extra2	extra3	extra4	fin	inkara2012	clue18	clue17	sudowiki_nb28	sudowiki_nb49	veryeasy	
largest/indomain_min    [0]/0	[62]/281	[151508]/1138631	[5881]/41417	[640]/3758	[2808]/20688	[140]/897	[13588]/98228	[20093]/116499	[714313]/6063200	[229602]/1802600	[148513]/1138631	[169355]/1309928	[1575]/11829	[1560]/11829	[3510]/23656	[12605]/94349	[32901]/267805	[2230]/13262	NA	
largest/indomain_max	[0]/6	[63]/494	[106705]/862512	[44803]/311803	[1654]/10202	[78]/468	[4056]/28393	[5475]/40030	[1654]/9921	[1857800]/17093065	[1894898]/15342702	[106860]/862512	[85926]/668734	[889]/6841	[889]/6841	[61527]/450506	[546]/4125	[13182]/126152	[328]/2226	NA	
largest/indomain_reverse_min	[15]/6	[63]/494	[109044]/862512	[46208]/311803	[1700]/10202	[63]/468	[4180]/28393	[5648]/40030	[1684]/9921	[1919858]/17093065	[1909093]/15342702	[105785]/862512	[83382]/668734	[874]/6841	[858]/6841	[59935]/450506	[531]/4125	[12885]/126152	[344]/2226	NA	
largest/indomain_reverse_max	[0]/0	[46]/281	[147312]/1138631	[5757]/41417	[624]/3758	[2761]/20688	[140]/897	[13292]/98228	[19546]/116499	[698464]/6063200	[224002]/1802600	[146609]/1138631	[167109]/1309928	[1544]/11829	[1560]/11829	[3463]/23656	[12355]/94349	[32168]/267805	[2200]/13262	NA	
largest/indomain_middle	[0]/0	[0]/33	[169432]/1085553	[58969]/352287	[1497]/7248	[2808]/17579	[2028]/11424	[19766]/122331	[11076]/55070	[128903]/926071	[2509011]/16841351	[169012]/1085553	[156765]/1007886	[296]/2136	[297]/2136	[74506]/471298	[13729]/89066	[43524]/311706	[1622]/8206	NA	
largest/indomain_median	[0]/6	[47]/247	[149480]/1011566	[53602]/332140	[1404]/7237	[2605]/16717	[4493]/28102	[9142]/57342	[10764]/56055	[2098042]/17141429	[1230972]/8594826	[149590]/1011566	[136017]/916795	[297]/2123	[280]/2123	[70856]/469333	[13790]/93185	[22121]/177773	[1623]/8637	NA	
largest/indomain_split	[0]/0	[62]/281	[163848]/1138631	[6427]/41417	[702]/3758	[3058]/20688	[156]/897	[14882]/98228	[22012]/116499	[789209]/6063200	[253783]/1802600	[163801]/1138631	[186234]/1309928	[1731]/11829	[1732]/11829	[3806]/23656	[13838]/94349	[36083]/267805	[2386]/13262	NA	
largest/indomain_reverse_split	[0]/6	[94]/494	[119232]/862512	[50216]/311803	[1826]/10202	[78]/468	[4524]/28393	[6099]/40030	[1841]/9921	[2112815]/17093065	[2141239]/15342702	[118855]/862512	[93805]/668734	[966]/6841	[953]/6841	[66564]/450506	[594]/4125	[14351]/126152	[375]/2226	NA	
largest/indomain_random	[0]/6	[47]/245	[221974]/1634272	[1420]/9120	[2262]/12933	[1217]/8889	[4368]/28533	[13134]/90654	[13307]/72655	[925477]/7444846	[984319]/7345976	[213956]/1579223	[215280]/1593036	[141]/1127	[109]/835	[53290]/381929	[453]/3227	[23634]/205772	[1731]/9750	NA	
largest/indomain_interval	[0]/0	[63]/281	[169682]/1138631	[6771]/41417	[717]/3758	[3182]/20688	[157]/897	[15521]/98228	[22792]/116499	[833935]/6063200	[264733]/1802600	[169434]/1138631	[192708]/1309928	[1794]/11829	[1794]/11829	[4009]/23656	[14570]/94349	[38267]/267805	[2512]/13262	NA	
occurrence/indomain	[0]/0	[0]/5	[889]/10786	[141]/1383	[78]/548	[92]/648	[0]/53	[48]/295	[94]/763	[311]/4229	[453]/4236	[888]/10786	[250]/2856	[17]/160	[30]/160	[48]/341	[109]/1216	[1684]/15642	[110]/701	[0]/28	
occurrence/indomain_min	[0]/0	[0]/5	[1106]/10786	[189]/1383	[78]/548	[108]/648	[0]/53	[47]/295	[125]/763	[358]/4229	[515]/4236	[1124]/10786	[297]/2856	[30]/160	[15]/160	[78]/341	[125]/1216	[1966]/15642	[125]/701	[0]/28	
occurrence/indomain_max	[0]/4	[0]/5	[187]/1865	[438]/3461	[15]/63	[15]/33	[15]/159	[33]/170	[170]/1241	[9127]/104148	[30]/214	[189]/1865	[46]/490	[157]/1267	[156]/1267	[3119]/18998	[0]/72	[562]/4463	[108]/646	[0]/28	
occurrence/indomain_reverse_min	[0]/4	[0]/5	[188]/1865	[453]/3461	[16]/63	[0]/33	[31]/159	[30]/170	[157]/1241	[9125]/104148	[17]/214	[186]/1865	[63]/490	[155]/1267	[157]/1267	[3089]/18998	[15]/72	[547]/4463	[109]/646	[15]/28	
occurrence/indomain_reverse_max	[0]/0	[0]/5	[1092]/10786	[188]/1383	[78]/548	[109]/648	[15]/53	[46]/295	[110]/763	[375]/4229	[515]/4236	[1106]/10786	[297]/2856	[32]/160	[31]/160	[62]/341	[125]/1216	[1981]/15642	[110]/701	[15]/28	
occurrence/indomain_middle	[0]/2	[0]/0	[1512]/12143	[703]/4526	[62]/376	[63]/331	[30]/112	[17]/100	[312]/1980	[9250]/95275	[531]/3895	[1513]/12143	[344]/2606	[156]/1040	[155]/1040	[3447]/18820	[125]/949	[2076]/14746	[15]/85	[0]/27	
occurrence/indomain_median	[0]/4	[0]/0	[1436]/12057	[498]/3496	[62]/343	[63]/360	[32]/156	[15]/110	[235]/1560	[10108]/104992	[125]/997	[1420]/12057	[311]/2493	[172]/1297	[171]/1297	[3401]/19135	[125]/1118	[1030]/7630	[16]/82	[15]/29	
occurrence/indomain_split	[0]/0	[0]/5	[1216]/10786	[189]/1383	[93]/548	[93]/648	[15]/53	[47]/295	[125]/763	[391]/4229	[545]/4236	[1218]/10786	[327]/2856	[32]/160	[14]/160	[79]/341	[125]/1216	[2122]/15642	[109]/701	[15]/28	
occurrence/indomain_reverse_split	[0]/4	[0]/5	[203]/1865	[453]/3461	[15]/63	[0]/33	[30]/159	[33]/170	[170]/1241	[9657]/104148	[32]/214	[203]/1865	[46]/490	[172]/1267	[155]/1267	[3199]/18998	[0]/72	[593]/4463	[108]/646	[0]/28	
occurrence/indomain_random	[0]/0	[0]/0	[329]/3088	[265]/1970	[0]/8	[109]/681	[16]/114	[46]/203	[125]/766	[2589]/27305	[0]/64	[1186]/10783	[62]/477	[79]/456	[31]/318	[62]/292	[125]/1022	[608]/4610	[125]/698	[0]/5	
occurrence/indomain_interval	[0]/0	[0]/5	[1279]/10786	[202]/1383	[95]/548	[125]/648	[15]/53	[47]/295	[141]/763	[405]/4229	[593]/4236	[1295]/10786	[343]/2856	[31]/160	[32]/160	[77]/341	[141]/1216	[2261]/15642	[140]/701	[0]/28	
most_constrained/indomain	[0]/0	[0]/4	[110]/773	[47]/476	[63]/377	[62]/424	[0]/5	[63]/354	[93]/750	[94]/871	[233]/1454	[93]/773	[142]/1074	[62]/378	[63]/378	[312]/2354	[108]/1021	[343]/3090	[110]/661	[0]/0	
most_constrained/indomain_min	[0]/0	[0]/4	[125]/773	[62]/476	[63]/377	[62]/424	[0]/5	[63]/354	[123]/750	[110]/871	[250]/1454	[125]/773	[140]/1074	[63]/378	[77]/378	[360]/2354	[123]/1021	[390]/3090	[110]/661	[0]/0	
